Celsuis, Fahrenheit, Kelvin
0, 32, 132
1, 33.8, 133.8
2, 35.6, 135.6
3, 37.4, 137.4
4, 39.2, 139.2
5, 41, 141
6, 42.8, 142.8
7, 44.6, 144.6
8, 46.4, 146.4
9, 48.2, 148.2
10, 50, 150
11, 51.8, 151.8
12, 53.6, 153.6
13, 55.4, 155.4
14, 57.2, 157.2
15, 59, 159
16, 60.8, 160.8
17, 62.6, 162.6
18, 64.4, 164.4
19, 66.2, 166.2
20, 68, 168
21, 69.8, 169.8
22, 71.6, 171.6
23, 73.4, 173.4
24, 75.2, 175.2
25, 77, 177
26, 78.8, 178.8
27, 80.6, 180.6
28, 82.4, 182.4
29, 84.2, 184.2
30, 86, 186
31, 87.8, 187.8
32, 89.6, 189.6
33, 91.4, 191.4
34, 93.2, 193.2
35, 95, 195
36, 96.8, 196.8
37, 98.6, 198.6
38, 100.4, 200.4
39, 102.2, 202.2
40, 104, 204
41, 105.8, 205.8
42, 107.6, 207.6
43, 109.4, 209.4
44, 111.2, 211.2
45, 113, 213
46, 114.8, 214.8
47, 116.6, 216.6
48, 118.4, 218.4
49, 120.2, 220.2
50, 122, 222
51, 123.8, 223.8
52, 125.6, 225.6
53, 127.4, 227.4
54, 129.2, 229.2
55, 131, 231
56, 132.8, 232.8
57, 134.6, 234.6
58, 136.4, 236.4
59, 138.2, 238.2
60, 140, 240
61, 141.8, 241.8
62, 143.6, 243.6
63, 145.4, 245.4
64, 147.2, 247.2
65, 149, 249
66, 150.8, 250.8
67, 152.6, 252.6
68, 154.4, 254.4
69, 156.2, 256.2
70, 158, 258
71, 159.8, 259.8
72, 161.6, 261.6
73, 163.4, 263.4
74, 165.2, 265.2
75, 167, 267
76, 168.8, 268.8
77, 170.6, 270.6
78, 172.4, 272.4
79, 174.2, 274.2
80, 176, 276
81, 177.8, 277.8
82, 179.6, 279.6
83, 181.4, 281.4
84, 183.2, 283.2
85, 185, 285
86, 186.8, 286.8
87, 188.6, 288.6
88, 190.4, 290.4
89, 192.2, 292.2
90, 194, 294
91, 195.8, 295.8
92, 197.6, 297.6
93, 199.4, 299.4
94, 201.2, 301.2
95, 203, 303
96, 204.8, 304.8
97, 206.6, 306.6
98, 208.4, 308.4
99, 210.2, 310.2
100, 212, 312
