SystemException: Could not find file "D:\TheWord\WordEngineering.config".
SystemException: Could not find file "D:\TheWord\WordEngineering.config".
ScriptureReferenceBookChapterVersePost [0]: Esther 6 | Esther|6||||| | SonInLaw: 1.
ScriptureReferenceBookChapterVersePost [1]: 1 Samuel 9 | 1 Samuel|9||||| | SonInLaw: 1.
ScriptureReferenceBookChapterVersePost [2]: Genesis 1:20 | Genesis|1|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [3]: Genesis 27:7 | Genesis|27|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [4]: Genesis 27:25 | Genesis|27|25|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [5]: Genesis 37:14 | Genesis|37|14|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [6]: Genesis 42:20 | Genesis|42|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [7]: Genesis 42:34 | Genesis|42|34|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [8]: Genesis 43:9 | Genesis|43|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [9]: Genesis 43:16 | Genesis|43|16|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [10]: Genesis 44:21 | Genesis|44|21|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [11]: Genesis 45:19 | Genesis|45|19|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [12]: Exodus 6:6 | Exodus|6|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [13]: Exodus 7:4 | Exodus|7|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [14]: Exodus 8:3 | Exodus|8|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [15]: Exodus 25:2 | Exodus|25|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [16]: Exodus 32:2 | Exodus|32|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [17]: Exodus 32:12 | Exodus|32|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [18]: Leviticus 2:2 | Leviticus|2|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [19]: Leviticus 2:4 | Leviticus|2|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [20]: Leviticus 2:8 | Leviticus|2|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [21]: Leviticus 5:6 | Leviticus|5|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [22]: Leviticus 5:12 | Leviticus|5|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [23]: Leviticus 5:18 | Leviticus|5|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [24]: Leviticus 6:21 | Leviticus|6|21|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [25]: Leviticus 12:8 | Leviticus|12|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [26]: Leviticus 16:11 | Leviticus|16|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [27]: Leviticus 16:15 | Leviticus|16|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [28]: Leviticus 26:31 | Leviticus|26|31|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [29]: Numbers 5:15 | Numbers|5|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [30]: Numbers 13:20 | Numbers|13|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [31]: Numbers 15:4 | Numbers|15|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [32]: Numbers 15:9 | Numbers|15|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [33]: Numbers 17:10 | Numbers|17|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [34]: Numbers 18:15 | Numbers|18|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [35]: Numbers 19:2 | Numbers|19|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [36]: Numbers 22:8 | Numbers|22|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [37]: Numbers 28:26 | Numbers|28|26|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [38]: Deuteronomy 14:28 | Deuteronomy|14|28|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [39]: Deuteronomy 21:12 | Deuteronomy|21|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [40]: Deuteronomy 22:14 | Deuteronomy|22|14|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [41]: Deuteronomy 22:21 | Deuteronomy|22|21|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [42]: Deuteronomy 26:2 | Deuteronomy|26|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [43]: Deuteronomy 28:68 | Deuteronomy|28|68|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [44]: Joshua 2:3 | Joshua|2|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [45]: Joshua 10:22 | Joshua|10|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [46]: Joshua 18:6 | Joshua|18|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [47]: Judges 7:4 | Judges|7|4|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [48]: Judges 11:9 | Judges|11|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [49]: Judges 19:3 | Judges|19|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [50]: Judges 19:24 | Judges|19|24|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [51]: Ruth 3:15 | Ruth|3|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [52]: 1 Samuel 11:12 | 1 Samuel|11|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [53]: 1 Samuel 13:9 | 1 Samuel|13|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [54]: 1 Samuel 14:18 | 1 Samuel|14|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [55]: 1 Samuel 14:34 | 1 Samuel|14|34|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [56]: 1 Samuel 15:32 | 1 Samuel|15|32|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [57]: 1 Samuel 28:11 | 1 Samuel|28|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [58]: 1 Samuel 30:15 | 1 Samuel|30|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [59]: 2 Samuel 3:13 | 2 Samuel|3|13|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [60]: 2 Samuel 6:2 | 2 Samuel|6|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [61]: 2 Samuel 9:10 | 2 Samuel|9|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [62]: 2 Samuel 12:23 | 2 Samuel|12|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [63]: 2 Samuel 13:10 | 2 Samuel|13|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [64]: 2 Samuel 14:10 | 2 Samuel|14|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [65]: 2 Samuel 15:8 | 2 Samuel|15|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [66]: 2 Samuel 15:25 | 2 Samuel|15|25|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [67]: 2 Samuel 19:11 | 2 Samuel|19|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [68]: 2 Samuel 22:49 | 2 Samuel|22|49|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [69]: 1 Kings 3:24 | 1 Kings|3|24|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [70]: 1 Kings 5:9 | 1 Kings|5|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [71]: 1 Kings 17:11 | 1 Kings|17|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [72]: 2 Kings 2:20 | 2 Kings|2|20|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [73]: 2 Kings 3:15 | 2 Kings|3|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [74]: 2 Kings 4:41 | 2 Kings|4|41|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [75]: 2 Kings 10:22 | 2 Kings|10|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [76]: 1 Chronicles 13:6 | 1 Chronicles|13|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [77]: 1 Chronicles 13:12 | 1 Chronicles|13|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [78]: 1 Chronicles 21:2 | 1 Chronicles|21|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [79]: 1 Chronicles 21:12 | 1 Chronicles|21|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [80]: 1 Chronicles 22:19 | 1 Chronicles|22|19|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [81]: 2 Chronicles 24:6 | 2 Chronicles|24|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [82]: 2 Chronicles 34:28 | 2 Chronicles|34|28|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [83]: Nehemiah 5:5 | Nehemiah|5|5|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [84]: Nehemiah 9:29 | Nehemiah|9|29|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [85]: Nehemiah 10:34 | Nehemiah|10|34|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [86]: Nehemiah 10:37 | Nehemiah|10|37|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [87]: Job 6:22 | Job|6|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [88]: Job 14:3 | Job|14|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [89]: Job 19:29 | Job|19|29|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [90]: Job 30:23 | Job|30|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [91]: Job 39:12 | Job|39|12|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [92]: Psalms 25:17 | Psalms|25|17|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [93]: Psalms 37:6 | Psalms|37|6|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [94]: Psalms 55:23 | Psalms|55|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [95]: Psalms 60:9 | Psalms|60|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [96]: Psalms 108:10 | Psalms|108|10|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [97]: Psalms 142:7 | Psalms|142|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [98]: Proverbs 18:16 | Proverbs|18|16|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [99]: Proverbs 29:15 | Proverbs|29|15|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [100]: Proverbs 29:21 | Proverbs|29|21|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [101]: Ecclesiastes 11:9 | Ecclesiastes|11|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [102]: Ecclesiastes 12:14 | Ecclesiastes|12|14|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [103]: Song of Solomon 8:2 | Song of Solomon|8|2|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [104]: Isaiah 1:13 | Isaiah|1|13|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [105]: Isaiah 7:17 | Isaiah|7|17|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [106]: Isaiah 8:7 | Isaiah|8|7|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [107]: Isaiah 40:26 | Isaiah|40|26|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [108]: Isaiah 41:22 | Isaiah|41|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [109]: Isaiah 42:1 | Isaiah|42|1|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [110]: Isaiah 42:3 | Isaiah|42|3|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [111]: Isaiah 45:21 | Isaiah|45|21|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [112]: Isaiah 54:16 | Isaiah|54|16|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [113]: Jeremiah 4:31 | Jeremiah|4|31|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [114]: Jeremiah 11:11 | Jeremiah|11|11|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [115]: Jeremiah 11:23 | Jeremiah|11|23|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [116]: Jeremiah 15:19 | Jeremiah|15|19|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [117]: Jeremiah 18:22 | Jeremiah|18|22|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [118]: Jeremiah 23:40 | Jeremiah|23|40|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [119]: Jeremiah 25:9 | Jeremiah|25|9|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [120]: Jeremiah 25:29 | Jeremiah|25|29|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [121]: Jeremiah 30:18 | Jeremiah|30|18|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [122]: Jeremiah 31:8 | Jeremiah|31|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [123]: Jeremiah 36:31 | Jeremiah|36|31|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [124]: Jeremiah 48:47 | Jeremiah|48|47|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [125]: Jeremiah 49:8 | Jeremiah|49|8|||| | SonInLaw: 2.
ScriptureReferenceBookChapterVersePost [126]: Jeremiah 49:36 | Jeremiah|49|36|||| | SonInLaw: 2.
